,test,serial_number,evaluation,sample_value,test_result,made_by,equipment,sample_plan,plan_result,plan_date,plan_hour,lat_ticket,lsl,usl
99,Angulo de Atore a 180°,qasn231010002p,"Entre (15°, 45°)",24.1,Paso,657647,05849,Especificacion: GMW14831 Prueba: Aceleracion Variante: M,Paso,2023-04-11,2023-04-11 12:58:00,QT23101002M,15.0,45.0
100,Angulo de Atore a 270°,qasn231010002p,"Entre (15°, 45°)",18.7,Paso,657647,05849,Especificacion: GMW14831 Prueba: Aceleracion Variante: M,Paso,2023-04-11,2023-04-11 12:58:00,QT23101002M,15.0,45.0
101,Angulo de Atore a 0°,qasn231010002p,"Entre (15°, 45°)",21.4,Paso,657647,05849,Especificacion: GMW14831 Prueba: Aceleracion Variante: M,Paso,2023-04-11,2023-04-11 12:58:00,QT23101002M,15.0,45.0
102,"Aceleracion a 0.68 G's, Angulo a 0° con ""Atore""",qasn231010002p,Menor Que (25mm),14.95,Paso,657647,05849,Especificacion: GMW14831 Prueba: Aceleracion Variante: M,Paso,2023-04-11,2023-04-11 12:58:00,QT23101002M,,25.0
103,"Aceleracion a 0.68 G's, Angulo a 90° con ""Atore""",qasn231010002p,Menor Que (25mm),15.14,Paso,657647,05849,Especificacion: GMW14831 Prueba: Aceleracion Variante: M,Paso,2023-04-11,2023-04-11 12:58:00,QT23101002M,,25.0
104,"Aceleracion a 0.68 G's, Angulo a 180° con ""Atore""",qasn231010002p,Menor Que (25mm),16.07,Paso,657647,05849,Especificacion: GMW14831 Prueba: Aceleracion Variante: M,Paso,2023-04-11,2023-04-11 12:58:00,QT23101002M,,25.0
105,"Aceleracion a 0.68 G's, Angulo a 270° con ""Atore""",qasn231010002p,Menor Que (25mm),15.77,Paso,657647,05849,Especificacion: GMW14831 Prueba: Aceleracion Variante: M,Paso,2023-04-11,2023-04-11 12:58:00,QT23101002M,,25.0
106,"Sensitividad Web, Aceleracion con ""Atore""",qasn231010002p,"Entre (3G, 7G)",4.7,Paso,657647,05849,Especificacion: GMW14831 Prueba: Aceleracion Variante: M,Paso,2023-04-11,2023-04-11 12:58:00,QT23101002M,3.0,7.0
107,"Sensitividad Web, Aceleracion Entre 3 ~ 7 G's con ""Atore""",qasn231010002p,Menor Que (50mm),27.07,Paso,657647,05849,Especificacion: GMW14831 Prueba: Aceleracion Variante: M,Paso,2023-04-11,2023-04-11 12:58:00,QT23101002M,,50.0
108,Nivel de Retraccion @800mm,qasn231010002p,"Entre (2.0N, 3.0N)",2.66,Paso,549227,03799,Especificacion: GMW14831 Prueba: Extraccion Variante: W,Paso,2023-04-11,2023-04-11 11:56:00,QT23101002M,2.0,3.0
109,Nivel de Extraccion @800mm,qasn231010002p,Menor Que (13.6N),9.01,Paso,549227,03799,Especificacion: GMW14831 Prueba: Extraccion Variante: W,Paso,2023-04-11,2023-04-11 11:56:00,QT23101002M,,13.6
110,Nivel de Retraccion @1600mm,qasn231010002p,"Entre (1.4N, 2.4N)",2.14,Paso,549227,03799,Especificacion: GMW14831 Prueba: Extraccion Variante: W,Paso,2023-04-11,2023-04-11 11:56:00,QT23101002M,1.4,2.4
111,Nivel de Extraccion @1600mm,qasn231010002p,Menor Que (9.6N),7.19,Paso,549227,03799,Especificacion: GMW14831 Prueba: Extraccion Variante: W,Paso,2023-04-11,2023-04-11 11:56:00,QT23101002M,,9.6
112,Punto de Destruccion,qasn231010002P,Mayor Que (13300N),19832.9,Paso,546792,07599,Especificacion: GMW14831 Prueba: Destruccion Variante: A,Pendiente,2023-04-11,2023-04-11 11:32:00,QT23101002M,13300.0,
135,Punto de Destruccion,qasn231010003d,Mayor Que (13000N),17901.7,Paso,546792,07599,Especificacion: QS 72 003 Prueba: Destruccion Variante: A,Pendiente,2023-04-11,2023-04-11 12:01:00,QT23101003B,13000.0,
141,Angulo a 0° (15°min-45°max),,"Entre (15°, 45°)",20.9,Paso,657647,05849,Especificacion: GMW14831 Prueba: Angulo Variante: A,Paso,2023-04-11,2023-04-11 13:12:00,QT23101002F,15.0,45.0
142,Angulo a 90° (15°min-45°max),,"Entre (15°, 45°)",22.6,Paso,657647,05849,Especificacion: GMW14831 Prueba: Angulo Variante: A,Paso,2023-04-11,2023-04-11 13:12:00,QT23101002F,15.0,45.0
143,Angulo a 180° (15°min-45°max),,"Entre (15°, 45°)",21.8,Paso,657647,05849,Especificacion: GMW14831 Prueba: Angulo Variante: A,Paso,2023-04-11,2023-04-11 13:12:00,QT23101002F,15.0,45.0
144,Angulo a 270° (15°min-45°max),,"Entre (15°, 45°)",22.0,Paso,657647,05849,Especificacion: GMW14831 Prueba: Angulo Variante: A,Paso,2023-04-11,2023-04-11 13:12:00,QT23101002F,15.0,45.0
145,"Aceleracion a 0.68 G's, Angulo a 0° con ""Atore""",qasn231010002h,Menor Que (25mm),18.27,Paso,657647,05849,Especificacion: GMW14831 Prueba: Aceleracion Variante: H,Paso,2023-04-11,2023-04-11 13:17:00,QT23101002F,,25.0
146,"Aceleracion a 0.68 G's, Angulo a 90° con ""Atore""",qasn231010002h,Menor Que (25mm),22.47,Paso,657647,05849,Especificacion: GMW14831 Prueba: Aceleracion Variante: H,Paso,2023-04-11,2023-04-11 13:17:00,QT23101002F,,25.0
147,"Aceleracion a 0.68 G's, Angulo a 180° con ""Atore""",qasn231010002h,Menor Que (25mm),24.59,Paso,657647,05849,Especificacion: GMW14831 Prueba: Aceleracion Variante: H,Paso,2023-04-11,2023-04-11 13:17:00,QT23101002F,,25.0
148,"Aceleracion a 0.68 G's, Angulo a 270° con ""Atore""",qasn231010002h,Menor Que (25mm),24.18,Paso,657647,05849,Especificacion: GMW14831 Prueba: Aceleracion Variante: H,Paso,2023-04-11,2023-04-11 13:17:00,QT23101002F,,25.0
149,"Sensitividad Web, Aceleracion con ""Atore""",qasn231010002h,"Entre (2.0G, 5.5G)",3.3,Paso,657647,05849,Especificacion: GMW14831 Prueba: Aceleracion Variante: H,Paso,2023-04-11,2023-04-11 13:17:00,QT23101002F,2.0,5.5
150,"Sensitividad Web, Aceleracion Entre 2.0 ~ 5.5 G's con ""Atore""",qasn231010002h,Menor Que (50mm),33.53,Paso,657647,05849,Especificacion: GMW14831 Prueba: Aceleracion Variante: H,Paso,2023-04-11,2023-04-11 13:17:00,QT23101002F,,50.0
164,"Sec.1.0 Con un peso muerto de 50N marcar cinto, alcanzar una carga a 500N y medir. (No debe desplazar mas de 10mm)",,Captura Manual,3.46,Paso,545496,07157761,Especificacion: Per Print Prueba: Lengua Dinamica (DLT) P4 Variante: A,Paso,2023-04-11,2023-04-11 09:19:00,QT231010005,,
166,Sec.1.1 Con lengua ya atorada Inc. a 500N marcar el cinto subir la carga a 3500N medir el cinto el desplazamiento no debe de ser mayor a 10mm,,Captura Manual,1.02,Paso,545496,07157761,Especificacion: Per Print Prueba: Lengua Dinamica (DLT) P4 Variante: A,Paso,2023-04-11,2023-04-11 09:19:00,QT231010005,,
168,CC  Sec.1.4 Destruccion de Lengua (con cinto virgen) 22000N Min. Por Plano ERD#365280,,Captura Manual,28345.0,Paso,545496,08028,Especificacion: Per Print Prueba: Lengua Dinamica (DLT) P4 Variante: A,Paso,2023-04-11,2023-04-11 09:19:00,QT231010005,,
170,Codigo de Destruccion,,Captura Manual,1.0,Paso,545496,N/A,Especificacion: Per Print Prueba: Lengua Dinamica (DLT) P4 Variante: A,Paso,2023-04-11,2023-04-11 09:19:00,QT231010005,,
171,#Lote DLT,,Captura Manual,552.0,Paso,545496,N/A,Especificacion: Per Print Prueba: Lengua Dinamica (DLT) P4 Variante: A,Paso,2023-04-11,2023-04-11 09:19:00,QT231010005,,
172,"Prueba de Destruccion Ancla Piro(14,700N Min)",,Mayor Que (14700N),20493.0,Paso,545496,08028,Especificacion: GMW14831 Prueba: Destruccion Hebillas Pirotecnicas Variante: A,Paso,2023-04-11,2023-04-11 12:42:00,QT23101003V,14700.0,
173,Codigo de Destruccion Ref. TS34142032,,Captura Manual,2.0,Paso,545496,N/A,Especificacion: GMW14831 Prueba: Destruccion Hebillas Pirotecnicas Variante: A,Paso,2023-04-11,2023-04-11 12:42:00,QT23101003V,,
175,"Resistencia de Sleeve/Conector (18,000N Min) POR PLANO",,Mayor Que (18000N),25790.0,Paso,545496,08028,Especificacion: GMW14831 Prueba: Destruccion Sub-Ensamble Hebillas Piro Variante: G,Paso,2023-04-11,2023-04-11 12:42:00,QT23101003V,18000.0,
177,Codigo Ref. TS34142032,,Captura Manual,1.0,Paso,545496,N/A,Especificacion: GMW14831 Prueba: Destruccion Sub-Ensamble Hebillas Piro Variante: G,Paso,2023-04-11,2023-04-11 12:42:00,QT23101003V,,
178,"Jalado de Manifold /Tubo(5,000 N Min - 8,000 N Max.) POR PLANO",,"Entre (5000N, 8000N)",7004.0,Paso,545496,08028,Especificacion: GMW14831 Prueba: Destruccion Sub-Ensamble Hebillas Piro Variante: G,Paso,2023-04-11,2023-04-11 12:42:00,QT23101003V,5000.0,8000.0
180,Codigo Ref. TS34142032,,Captura Manual,1.0,Paso,545496,N/A,Especificacion: GMW14831 Prueba: Destruccion Sub-Ensamble Hebillas Piro Variante: G,Paso,2023-04-11,2023-04-11 12:42:00,QT23101003V,,
181,Jalado de Damper (400N Min - 900N Max) POR PLANO,,"Entre (400N, 900N)",619.0,Paso,545496,08025,Especificacion: GMW14831 Prueba: Destruccion Sub-Ensamble Hebillas Piro Variante: G,Paso,2023-04-11,2023-04-11 12:42:00,QT23101003V,400.0,900.0
182,Empuje de Guia (Perno (300N Min)) POR PLANO,,Mayor Que (300N),2676.0,Paso,545496,08025,Especificacion: GMW14831 Prueba: Destruccion Sub-Ensamble Hebillas Piro Variante: G,Paso,2023-04-11,2023-04-11 12:42:00,QT23101003V,300.0,
184,Prueba de Detonacion/ Despl. (AK Set-Up) 70mm Min.,,Mayor Que (70mm),90.33,Paso,545496,07157761,Especificacion: GMW14831 Prueba: Desplazamiento Hebillas Piro (AK Set-Up) Variante: C,Paso,2023-04-11,2023-04-11 12:42:00,QT23101003V,70.0,
185,CC-Angulo de Atore a 90°,qasn231010002b,"Entre (15°, 30°)",24.5,Paso,657647,05849,Especificacion: ES-F7LB-63611B08-AA Prueba: Aceleracion Variante: F,Paso,2023-04-11,2023-04-11 12:58:00,QT231010029,15.0,30.0
186,CC-Angulo de Atore a 180°,qasn231010002b,"Entre (15°, 30°)",25.5,Paso,657647,05849,Especificacion: ES-F7LB-63611B08-AA Prueba: Aceleracion Variante: F,Paso,2023-04-11,2023-04-11 12:58:00,QT231010029,15.0,30.0
187,CC-Angulo de Atore a 270°,qasn231010002b,"Entre (15°, 30°)",23.8,Paso,657647,05849,Especificacion: ES-F7LB-63611B08-AA Prueba: Aceleracion Variante: F,Paso,2023-04-11,2023-04-11 12:58:00,QT231010029,15.0,30.0
188,CC-Angulo de Atore a 0°,qasn231010002b,"Entre (15°, 30°)",20.2,Paso,657647,05849,Especificacion: ES-F7LB-63611B08-AA Prueba: Aceleracion Variante: F,Paso,2023-04-11,2023-04-11 12:58:00,QT231010029,15.0,30.0
189,"CC-Aceleracion a 0.68 G's, Angulo a 0° con ""Atore""",qasn231010002b,Menor Que (25mm),19.12,Paso,657647,05849,Especificacion: ES-F7LB-63611B08-AA Prueba: Aceleracion Variante: F,Paso,2023-04-11,2023-04-11 12:58:00,QT231010029,,25.0
190,"CC-Aceleracion a 0.68 G's, Angulo a 90° con ""Atore""",qasn231010002b,Menor Que (25mm),19.45,Paso,657647,05849,Especificacion: ES-F7LB-63611B08-AA Prueba: Aceleracion Variante: F,Paso,2023-04-11,2023-04-11 12:58:00,QT231010029,,25.0
191,"CC-Aceleracion a 0.68 G's, Angulo a 180° con ""Atore""",qasn231010002b,Menor Que (25mm),20.07,Paso,657647,05849,Especificacion: ES-F7LB-63611B08-AA Prueba: Aceleracion Variante: F,Paso,2023-04-11,2023-04-11 12:58:00,QT231010029,,25.0
192,"CC-Aceleracion a 0.68 G's, Angulo a 270° con ""Atore""",qasn231010002b,Menor Que (25mm),19.88,Paso,657647,05849,Especificacion: ES-F7LB-63611B08-AA Prueba: Aceleracion Variante: F,Paso,2023-04-11,2023-04-11 12:58:00,QT231010029,,25.0
193,"Sensitividad Web, Aceleracion con ""No Atore""",qasn231010002b,Igual A (1.5G),1.5,Paso,657647,05849,Especificacion: ES-F7LB-63611B08-AA Prueba: Aceleracion Variante: F,Paso,2023-04-11,2023-04-11 12:58:00,QT231010029,,
195,"Sensitividad Web, Aceleracion con ""Atore""",qasn231010002b,Igual A (4.5G),4.5,Paso,657647,05849,Especificacion: ES-F7LB-63611B08-AA Prueba: Aceleracion Variante: F,Paso,2023-04-11,2023-04-11 12:58:00,QT231010029,,
196,"Sensitividad Web, Aceleracion Entre 4.5 G's con ""Atore""",qasn231010002b,Menor Que (50mm),21.64,Paso,657647,05849,Especificacion: ES-F7LB-63611B08-AA Prueba: Aceleracion Variante: F,Paso,2023-04-11,2023-04-11 12:58:00,QT231010029,,50.0
197,"Sensitividad Web, Aceleracion Entre 4.5 G's con ""Atore""",qasn231010002b,Menor Que (50mm),21.34,Paso,657647,05849,Especificacion: ES-F7LB-63611B08-AA Prueba: Aceleracion Variante: F,Paso,2023-04-11,2023-04-11 12:58:00,QT231010029,,50.0
198,"Sensitividad Web, Aceleracion Entre 4.5 G's con ""Atore""",qasn231010002b,Menor Que (50mm),24.32,Paso,657647,05849,Especificacion: ES-F7LB-63611B08-AA Prueba: Aceleracion Variante: F,Paso,2023-04-11,2023-04-11 12:58:00,QT231010029,,50.0
199,CC-Retraccion System Max.,qasn231010002b,"Entre (1.1N, 6.4N)",3.49,Paso,549227,03799,Especificacion: ES-F7LB-63611B08-AA Prueba: Extraccion Variante: E,Paso,2023-04-11,2023-04-11 14:11:00,QT231010029,1.1,6.4
200,CC-Retraccion System Min.,qasn231010002b,"Entre (1.1N, 6.4N)",3.19,Paso,549227,03799,Especificacion: ES-F7LB-63611B08-AA Prueba: Extraccion Variante: E,Paso,2023-04-11,2023-04-11 14:11:00,QT231010029,1.1,6.4
201,CC-Tiempo de Empaque(3.0 seg Max.),,"Entre (0, 3.0)",77.0,Paso,549227,365510,Especificacion: ES-F7LB-63611B08-AA Prueba: Extraccion Variante: E,Paso,2023-04-11,2023-04-11 14:11:00,QT231010029,0.0,3.0
202,Retraccion Directa (6.65N Max.) Bench,,"Entre (0N, 6.65N)",5.98,Paso,549227,G-57,Especificacion: ES-F7LB-63611B08-AA Prueba: Extraccion Variante: E,Paso,2023-04-11,2023-04-11 14:11:00,QT231010029,0.0,6.65
203,Retraccion Directa (4.95N Min.) Bench,,Mayor Que (4.95N),5.28,Paso,549227,G-57,Especificacion: ES-F7LB-63611B08-AA Prueba: Extraccion Variante: E,Paso,2023-04-11,2023-04-11 14:11:00,QT231010029,4.95,
204,CC-Punto de Destruccion @ 75%,qasn231010002b,Mayor Que (8900N),17251.7,Paso,546792,07599,Especificacion: ES-F7LB-63611B08-AA Prueba: Destruccion Variante: C,Pendiente,2023-04-11,2023-04-11 09:14:00,QT231010029,8900.0,
212,Angulo de Atore a 90°,qasn2310100030,"Entre (15°, 45°)",21.0,Paso,657647,05849,Especificacion: PF-90024 Prueba: Aceleracion Variante: C,Paso,2023-04-11,2023-04-11 11:58:00,QT23101002Y,15.0,45.0
213,Angulo de Atore a 180°,qasn2310100030,"Entre (15°, 45°)",24.1,Paso,657647,05849,Especificacion: PF-90024 Prueba: Aceleracion Variante: C,Paso,2023-04-11,2023-04-11 11:58:00,QT23101002Y,15.0,45.0
214,Angulo de Atore a 270°,qasn2310100030,"Entre (15°, 45°)",25.5,Paso,657647,05849,Especificacion: PF-90024 Prueba: Aceleracion Variante: C,Paso,2023-04-11,2023-04-11 11:58:00,QT23101002Y,15.0,45.0
215,Angulo de Atore a 0°,qasn2310100030,"Entre (15°, 45°)",22.0,Paso,657647,05849,Especificacion: PF-90024 Prueba: Aceleracion Variante: C,Paso,2023-04-11,2023-04-11 11:58:00,QT23101002Y,15.0,45.0
216,"Aceleracion a 0.45 G's, Angulo a 0° con ""Atore""",qasn2310100030,Menor Que (50mm),18.57,Paso,657647,05849,Especificacion: PF-90024 Prueba: Aceleracion Variante: C,Paso,2023-04-11,2023-04-11 11:58:00,QT23101002Y,,50.0
217,"Aceleracion a 0.45 G's, Angulo a 90° con ""Atore""",qasn2310100030,Menor Que (50mm),21.9,Paso,657647,05849,Especificacion: PF-90024 Prueba: Aceleracion Variante: C,Paso,2023-04-11,2023-04-11 11:58:00,QT23101002Y,,50.0
218,"Aceleracion a 0.45 G's, Angulo a 180° con ""Atore""",qasn2310100030,Menor Que (50mm),17.47,Paso,657647,05849,Especificacion: PF-90024 Prueba: Aceleracion Variante: C,Paso,2023-04-11,2023-04-11 11:58:00,QT23101002Y,,50.0
219,"Aceleracion a 0.45 G's, Angulo a 270° con ""Atore""",qasn2310100030,Menor Que (50mm),22.38,Paso,657647,05849,Especificacion: PF-90024 Prueba: Aceleracion Variante: C,Paso,2023-04-11,2023-04-11 11:58:00,QT23101002Y,,50.0
220,"Aceleracion a 0.7 G's, Angulo a 0° con ""Atore""",qasn2310100030,Menor Que (25mm),23.9,Paso,657647,05849,Especificacion: PF-90024 Prueba: Aceleracion Variante: C,Paso,2023-04-11,2023-04-11 11:58:00,QT23101002Y,,25.0
221,"Aceleracion a 0.7 G's, Angulo a 90° con ""Atore""",qasn2310100030,Menor Que (25mm),24.29,Paso,657647,05849,Especificacion: PF-90024 Prueba: Aceleracion Variante: C,Paso,2023-04-11,2023-04-11 11:58:00,QT23101002Y,,25.0
222,"Aceleracion a 0.7 G's, Angulo a 180° con ""Atore""",qasn2310100030,Menor Que (25mm),19.9,Paso,657647,05849,Especificacion: PF-90024 Prueba: Aceleracion Variante: C,Paso,2023-04-11,2023-04-11 11:58:00,QT23101002Y,,25.0
223,"Aceleracion a 0.7 G's, Angulo a 270° con ""Atore""",qasn2310100030,Menor Que (25mm),24.61,Paso,657647,05849,Especificacion: PF-90024 Prueba: Aceleracion Variante: C,Paso,2023-04-11,2023-04-11 11:58:00,QT23101002Y,,25.0
224,"Sensitividad Web, Aceleracion con ""Atore""",qasn2310100030,Mayor Que (1.8G),5.3,Paso,657647,05849,Especificacion: PF-90024 Prueba: Aceleracion Variante: C,Paso,2023-04-11,2023-04-11 11:58:00,QT23101002Y,1.8,
225,"Sensitividad Web, Aceleracion a 1.8 G's Minimo con ""Atore""",qasn2310100030,Menor Que (50mm),37.85,Paso,657647,05849,Especificacion: PF-90024 Prueba: Aceleracion Variante: C,Paso,2023-04-11,2023-04-11 11:58:00,QT23101002Y,,50.0
227,"Sensitividad Web, Aceleracion a 1.8 G's Minimo con ""Atore""",qasn2310100030,Menor Que (50mm),43.01,Paso,657647,05849,Especificacion: PF-90024 Prueba: Aceleracion Variante: C,Paso,2023-04-11,2023-04-11 11:58:00,QT23101002Y,,50.0
229,"Sensitividad Web, Aceleracion a 1.8 G's Minimo con ""Atore""",qasn2310100030,Menor Que (50mm),33.66,Paso,657647,05849,Especificacion: PF-90024 Prueba: Aceleracion Variante: C,Paso,2023-04-11,2023-04-11 11:58:00,QT23101002Y,,50.0
243,Nivel de Retraccion @800mm,qasn231010000c,"Entre (1.0N, 2.9N)",2.53,Paso,549227,03799,Especificacion: GMW14831 Prueba: Extraccion Variante: R,Paso,2023-04-11,2023-04-11 09:01:00,QT23101000C,1.0,2.9
244,Nivel de Extraccion @800mm,qasn231010000c,Menor Que (13.0N),10.17,Paso,549227,03799,Especificacion: GMW14831 Prueba: Extraccion Variante: R,Paso,2023-04-11,2023-04-11 09:01:00,QT23101000C,,13.0
245,Nivel de Retraccion @1600mm,qasn231010000c,"Entre (0.9N, 2.3N)",2.0,Paso,549227,03799,Especificacion: GMW14831 Prueba: Extraccion Variante: R,Paso,2023-04-11,2023-04-11 09:01:00,QT23101000C,0.9,2.3
246,Nivel de Extraccion @1600mm,qasn231010000c,Menor Que (9.25N),7.9,Paso,549227,03799,Especificacion: GMW14831 Prueba: Extraccion Variante: R,Paso,2023-04-11,2023-04-11 09:01:00,QT23101000C,,9.25
247,Punto de Destruccion,qasn231010000c,Mayor Que (13300N),20688.7,Paso,546792,07599,Especificacion: GMW14831 Prueba: Destruccion Variante: A,Pendiente,2023-04-11,2023-04-11 09:39:00,QT23101000C,13300.0,
252,Angulo de Atore a 90°,qasn231010000f,"Entre (12°, 27°)",20.5,Paso,657647,05849,Especificacion: ES88800-00 Prueba: Aceleracion Variante: J,Paso,2023-04-11,2023-04-11 11:29:00,QT23101000F,12.0,27.0
